seed,method,time,theta_err,w2_train,w2_train_max,shift_err,w2_test
0,JSKDS (exact),14.8035147190094,0.04835204067953639,0.08538758649765577,0.12227936440360856,0.04539850633479395,0.1764332263148619
0,JSKDS (adam),84.48376798629761,0.047376876145189255,0.09087221417352072,0.13547019788455414,0.04729818685203141,0.17204931495054096
0,moments (Thm 4.5),0.000331878662109375,0.03900446693686252,0.11140380163078115,0.1775179958812123,0.03810580298248528,0.18909011238940682
1,JSKDS (exact),15.260671138763428,0.04204137387046936,0.07565482217729143,0.09481491671589812,0.04053917330909775,0.1543490703170888
1,JSKDS (adam),101.70945382118225,0.04695628702940894,0.08415436168863048,0.11402264538649737,0.042020998393034685,0.15368168745423896
1,moments (Thm 4.5),0.00045990943908691406,0.03394975276809045,0.11703230896905933,0.19772953689987438,0.035620889751909454,0.1681402738820538
2,JSKDS (exact),16.472079038619995,0.03217060507746203,0.05944700739771998,0.06355366011343871,0.031004899191033743,0.1318360895584656
2,JSKDS (adam),112.60879111289978,0.03717221029755741,0.05912153746244703,0.07345405823400798,0.0305827542271804,0.14575270283504507
2,moments (Thm 4.5),0.0006937980651855469,0.031474050212231895,0.11019859766413861,0.1413182674429572,0.03651129903733949,0.14208181130663655
3,JSKDS (exact),43.69916796684265,0.045119703724535935,0.086447053106072,0.11748487605441277,0.04617417487693061,0.18979750571390364
3,JSKDS (adam),1089.2836048603058,0.053413255858569916,0.09360699562516583,0.11648644569007469,0.04953743638884394,0.18996012728787526
3,moments (Thm 4.5),0.0003292560577392578,0.04129799557245025,0.1467668738042813,0.18698776979405013,0.04731167105323274,0.19400275712667284
4,JSKDS (exact),13.757025003433228,0.0366175590065334,0.08326557919607602,0.10232448899971135,0.0519430557005261,0.10154245221569873
4,JSKDS (adam),2024.7555480003357,0.03699059439203759,0.08415967976621198,0.10610589581856147,0.05377885990845391,0.1047523744817512
4,moments (Thm 4.5),0.00026607513427734375,0.027375177434204128,0.0805669749165174,0.10864382415601699,0.04407390023476512,0.09000012207209837
5,JSKDS (exact),13.408182859420776,0.03605346120139014,0.07266941863413659,0.08747435569784948,0.03914634627125385,0.1797811692713635
5,JSKDS (adam),578.63440990448,0.035986120928041154,0.07154091103320577,0.08991817548797283,0.039002982780655504,0.15722110213759985
5,moments (Thm 4.5),0.0008409023284912109,0.029920959108851123,0.0735138249285483,0.09169478985290432,0.034423254112927244,0.18120023689290557
6,JSKDS (exact),12.95470118522644,0.03812514944314393,0.07591351061063119,0.10029652210246122,0.02803011090660568,0.1385687601046909
6,JSKDS (adam),325.9761619567871,0.05491507269121616,0.09862475265037729,0.12233652087673232,0.030760838239238118,0.13444815645755054
6,moments (Thm 4.5),0.0006079673767089844,0.025164062654360445,0.10513544125842392,0.1399137804401374,0.038609890567272556,0.14291594421177578
7,JSKDS (exact),942.0126800537109,0.04686280911073898,0.06931674618326537,0.08030732734420656,0.04625565367732474,0.1410009760273171
7,JSKDS (adam),999.9605360031128,0.04783428410228541,0.07350922190377415,0.09796180687821794,0.04474598354122824,0.13396278898632677
7,moments (Thm 4.5),0.0002980232238769531,0.030376048439169932,0.08129356735573985,0.0929176080547438,0.030571816441854194,0.15380173133166244
8,JSKDS (exact),981.8530962467194,0.04255031648347699,0.06309789477523942,0.07041987695033815,0.027196177856413054,0.14743971841181183
8,JSKDS (adam),217.11228585243225,0.03947831860804181,0.06944732575670105,0.07760626221330107,0.027740512027556886,0.16644706346690835
8,moments (Thm 4.5),0.0003638267517089844,0.038801147224579335,0.08036876924015099,0.11218880583401382,0.026287590382836745,0.13868476953538303
9,JSKDS (exact),13.371811151504517,0.04743154272454133,0.09027977700387207,0.1241450284016425,0.04096758036113285,0.11277123899123596
9,JSKDS (adam),1905.7502682209015,0.05579583055291682,0.10880695700309292,0.14518278740525747,0.0436660538724467,0.12029020128983657
9,moments (Thm 4.5),0.0002932548522949219,0.0235462365394183,0.07565589502994088,0.0940131330266378,0.011892776041736313,0.12152810574649976
